code_postal;nom_commune;Idh_4
59036;AVESNES-SUR-HELPE;0.156
59512;ROUBAIX;0.169
59172;DENAIN;0.17
59361;LOURCHES;0.198
59365;LOUVROIL;0.204
62386;GRENAY;0.215
62771;SALLAUMINES;0.221
59153;CONDE-SUR-LEESCAUT;0.224
59271;GRANDE-SYNTHE;0.227
59418;MORTAGNE-DU-NORD;0.236
62246;COUPELLE-NEUVE;0.238
62555;MARLES-LES-MINES;0.242
59647;WATTEN;0.243
59292;HAVELUY;0.248
62194;CALONNE-RICOUART;0.249
62726;RUISSEAUVILLE;0.254
59136;LE CATEAU-CAMBRESIS;0.257
59205;ESCAUDAIN;0.26
59207;ESCAUTPONT;0.268
62562;MATRINGHEM;0.269
62270;DIVION;0.273
59481;LE QUESNOY;0.273
59654;WAZIERS;0.273
62628;NOYELLES-SOUS-LENS;0.279
62907;LIBERCOURT;0.279
62724;ROUVROY;0.28
59390;MASNY;0.28
59253;FRESNES-SUR-ESCAUT;0.285
62048;AUCHEL;0.285
59616;VIEUX-CONDE;0.287
62160;BOULOGNE-SUR-MER;0.288
62364;FRUGES;0.29
62351;FOUQUIERES-LES-LENS;0.292
59491;RAISMES;0.294
62498;LENS;0.298
59538;SAINT-MOMELIN;0.298
62563;MAZINGARBE;0.3
59014;ANZIN;0.301
59249;FOURMIES;0.302
62133;BILLY-MONTIGNY;0.303
62587;MONTIGNY-EN-GOHELLE;0.304
62738;SAINS-LES-FRESSIN;0.304
62447;HESDIN;0.304
62510;LIEVIN;0.306
59591;THIVENCELLE;0.308
62361;FREVENT;0.309
59045;BAIVES;0.312
62050;AUCHY-LES-HESDIN;0.313
62710;RIMBOVAL;0.315
62065;AVION;0.316
59179;DOUCHY-LES-MINES;0.316
59170;DECHY;0.318
59412;MONTAY;0.318
59392;MAUBEUGE;0.319
62667;LE PORTEL;0.321
62053;AUDINCTHUN;0.323
59291;HAUTMONT;0.324
62412;HARDINGHEN;0.324
62862;VINCLY;0.325
59484;QUIEVRECHAIN;0.325
62247;COUPELLE-VIEILLE;0.326
62257;CREQUY;0.326
59028;AUBY;0.328
62596;MOURIEZ;0.329
62533;LUGY;0.329
59651;WAVRECHAIN-SOUS-DENAIN;0.329
59094;BOURBOURG;0.33
59456;PECQUENCOURT;0.33
62690;RAYE-SUR-AUTHIE;0.331
62843;VERCHIN;0.332
59624;VILLERS-OUTREAUX;0.332
62413;HARNES;0.332
62624;NOYELLES-GODAULT;0.333
59008;ANICHE;0.333
59414;MONTIGNY-EN-OSTREVENT;0.333
59079;BEUVRAGES;0.333
62183;BUIRE-LE-SEC;0.335
62745;SAINT-DENOEUX;0.336
59526;SAINT-AMAND-LES-EAUX;0.336
62095;BEAUMETZ-LES-AIRE;0.336
62737;SAINS-EN-GOHELLE;0.336
62178;BRUAY-LA-BUISSIERE;0.338
62327;FEBVIN-PALFART;0.339
62492;LEBIEZ;0.339
62397;GUINES;0.339
59112;BRUAY-SUR-LEESCAUT;0.341
62666;PONT-A-VENDIN;0.341
62249;COURCELLES-LES-LENS;0.342
62538;MAINTENAY;0.342
62637;OIGNIES;0.342
62616;NOEUX-LES-AUXI;0.343
59160;CRESPIN;0.346
62345;FONTAINE-LEETALON;0.346
62812;THIEMBRONNE;0.346
62293;EMBRY;0.347
59545;SAINT-SOUPLET;0.347
59382;MARETZ;0.347
59321;INCHY;0.348
59037;AVESNES-LES-AUBERT;0.348
62186;BULLY-LES-MINES;0.349
62569;MERCK-SAINT-LIEVIN;0.349
62443;HERSIN-COUPIGNY;0.349
59444;ODOMEZ;0.35
59502;RIEUX-EN-CAMBRESIS;0.351
62060;AUXI-LE-CHATEAU;0.351
62268;DESVRES;0.352
59409;MONCHECOURT;0.352
62570;MERICOURT;0.353
62377;GOSNAY;0.353
59327;LALLAING;0.354
59099;BOUSIES;0.357
59139;CAUDRY;0.357
59394;MAUROIS;0.359
62765;SAINT-OMER;0.36
59002;ABSCON;0.36
59307;HOLQUE;0.361
59331;LANDRECIES;0.361
59055;BAZUEL;0.361
62300;EQUIHEN-PLAGE;0.364
62325;FAUQUEMBERGUES;0.366
59659;WIGNEHIES;0.366
59246;FOREST-EN-CAMBRESIS;0.366
62823;TORCY;0.366
59311;HONNECHY;0.367
62683;QUOEUX-HAUT-MAINIL;0.367
62161;BOUQUEHAULT;0.367
59336;LECLUSE;0.367
62382;GOUY-SAINT-ANDRE;0.368
59223;LE FAVRIL;0.368
62321;EVIN-MALMAISON;0.368
59274;LA GROISE;0.369
59430;NEUVILLY;0.37
59191;ELINCOURT;0.37
62080;BAPAUME;0.37
62506;LICQUES;0.371
59324;JEUMONT;0.371
62643;OUTREAU;0.371
59185;ECAILLON;0.372
59024;AUBERCHICOURT;0.373
62601;NEDONCHEL;0.373
62318;ETAPLES;0.374
62158;BOUBERS-SUR-CANCHE;0.374
62395;GUIGNY;0.375
59118;BUSIGNY;0.375
62188;BURBURE;0.376
62083;BARLIN;0.377
59276;GUESNAIN;0.377
59504;ROEULX;0.377
59569;SIN-LE-NOBLE;0.378
59564;LA SENTINELLE;0.379
59261;GLAGEON;0.379
62895;WINGLES;0.38
59531;SAINT-BENIN;0.381
59571;SOLESMES;0.381
62046;AUBIN-SAINT-VAAST;0.383
62457;HOUDAIN;0.384
62153;BOMY;0.384
62668;PREDEFIN;0.386
59664;WULVERDINGHE;0.386
62165;BOURNONVILLE;0.387
62277;DROCOURT;0.387
62304;ERNY-SAINT-JULIEN;0.387
59496;REJET-DE-BEAULIEU;0.387
59063;BEAUVOIS-EN-CAMBRESIS;0.387
59495;RECQUIGNIES;0.388
59269;GOUZEAUCOURT;0.389
59349;LIGNY-EN-CAMBRESIS;0.39
59429;NEUVILLE-SUR-ESCAUT;0.39
62264;DANNES;0.39
59224;FECHAIN;0.39
62215;CARVIN;0.391
62401;HAISNES;0.391
62313;ESTREE-BLANCHE;0.392
62894;WIMILLE;0.392
62432;HERBINGHEN;0.392
62429;HENNEVEUX;0.392
62603;NESLES;0.392
59309;HONDSCHOOTE;0.393
59234;FLERS-EN-ESCREBIEUX;0.393
62090;BEALENCOURT;0.394
59379;MARCQ-EN-OSTREVENT;0.395
59447;ONNAING;0.395
62400;HAILLICOURT;0.396
62449;HESMOND;0.396
62692;REBERGUES;0.397
62526;LONGUEVILLE;0.397
62359;FRESSIN;0.397
59528;SAINT-AUBERT;0.397
59555;SARS-POTERIES;0.398
62532;LOZINGHEM;0.398
59474;PRISCHES;0.398
59012;ANOR;0.399
59574;SOMAIN;0.399
62497;LEFOREST;0.399
59433;NIEURLET;0.399
59650;WATTRELOS;0.401
59015;ARLEUX;0.401
62267;DENNEBROEUCQ;0.401
62427;HENIN-BEAUMONT;0.402
62551;MARENLA;0.402
59230;FERRIERE-LA-GRANDE;0.402
59601;TRELON;0.403
62336;FLECHIN;0.404
62256;CREPY;0.404
59614;VIESLY;0.404
62783;SAULCHOY;0.405
62250;COURRIERES;0.405
62308;ESCOEUILLES;0.406
62644;OUVE-WIRQUIN;0.406
59041;BACHANT;0.406
59137;CATILLON-SUR-SAMBRE;0.406
62519;LISBOURG;0.407
59499;REXPOËDE;0.407
59104;BOUSSOIS;0.407
62055;AUDREHEM;0.407
62790;SENLIS;0.407
62220;CAVRON-SAINT-MARTIN;0.408
59402;MILLAM;0.408
59358;LOOBERGHE;0.408
59384;MAROILLES;0.408
62193;CALAIS;0.408
62685;RADINGHEM;0.409
62031;ANDRES;0.409
59472;PREUX-AU-BOIS;0.409
62705;RETY;0.409
59130;CAPPELLE-BROUCK;0.409
62608;NEUVILLE-BOURJONVAL;0.41
62275;DOURIEZ;0.411
59148;CLAIRFAYTS;0.411
59604;TROISVILLES;0.411
62800;SOUASTRE;0.412
62100;BEAURAINVILLE;0.412
59485;QUIEVY;0.413
62521;LA LOGE;0.413
59119;BUYSSCHEURE;0.413
59087;BOËSEGHEM;0.414
59599;TOURCOING;0.414
62197;CAMBLAIN-CHATELAIN;0.414
59448;OOST-CAPPEL;0.414
62675;QUERCAMPS;0.414
59297;HELESMES;0.415
59547;SAINT-VAAST-EN-CAMBRESIS;0.416
59623;VILLERS-GUISLAIN;0.416
62051;AUCHY-LES-MINES;0.417
62787;SEMPY;0.417
59049;BANTOUZELLE;0.418
62711;RINXENT;0.418
62842;VENDIN-LE-VIEIL;0.418
59092;BOUCHAIN;0.419
62028;AMES;0.42
62622;NORT-LEULINGHEM;0.42
62219;CAUMONT;0.42
59288;HAULCHIN;0.421
62552;MARESQUEL-ECQUEMICOURT;0.421
59631;WALINCOURT-SELVIGNY;0.421
62328;FERFAY;0.421
62334;FIENNES;0.421
59131;CAPPELLE-LA-GRANDE;0.422
62827;TOURNEHEM-SUR-LA-HEM;0.423
59603;TRITH-SAINT-LEGER;0.423
62439;HERMELINGHEN;0.424
62855;VILLERS-AU-FLOS;0.424
59272;GRAND-FORT-PHILIPPE;0.424
59301;HERGNIES;0.425
59387;MARQUETTE-EN-OSTREVANT;0.425
62478;JOURNY;0.425
59372;MALINCOURT;0.425
59578;STEENBECQUE;0.425
62481;LABROYE;0.426
62848;VERQUIN;0.426
62786;SELLES;0.427
62209;CANLERS;0.427
59312;HONNECOURT-SUR-ESCAUT;0.427
62900;WITTERNESSE;0.428
62303;ERIN;0.429
62217;CAUCHY-A-LA-TOUR;0.429
59227;FENAIN;0.429
62802;LE SOUICH;0.429
59326;KILLEM;0.43
59178;DOUAI;0.43
62550;MARCONNELLE;0.431
62326;FAVREUIL;0.431
62581;MONCHY-CAYEUX;0.431
62464;HULLUCH;0.432
62859;VILLERS-LEHÔPITAL;0.432
62696;RECLINGHEM;0.432
62024;ALQUINES;0.432
62617;NOEUX-LES-MINES;0.432
62038;ARDRES;0.433
59097;BOURSIES;0.433
59176;DOIGNIES;0.433
59452;OSTRICOURT;0.433
62254;COYECQUES;0.433
62746;SAINT-ETIENNE-AU-MONT;0.435
62020;ALEMBON;0.435
62853;VIEIL-MOUTIER;0.435
59140;CAULLERY;0.435
59613;VICQ;0.435
59059;BEAUMONT-EN-CAMBRESIS;0.435
59007;ANHIERS;0.436
59122;CAMBRAI;0.436
62356;FRESNICOURT-LE-DOLMEN;0.436
59541;SAINT-PYTHON;0.437
62018;AIX-EN-ISSART;0.437
62485;LAIRES;0.438
59182;DRINCHAM;0.438
62704;RENTY;0.439
62155;BONNINGUES-LES-ARDRES;0.439
62522;LOISON-SUR-CREQUOISE;0.439
62040;ARQUES;0.44
59115;BRUNEMONT;0.44
59464;POIX-DU-NORD;0.44
59157;COUSOLRE;0.44
59395;MAZINGHIEN;0.44
62419;HAUT-LOQUIN;0.441
59389;MASNIERES;0.441
62846;VERMELLES;0.443
62234;CONCHY-SUR-CANCHE;0.443
59081;BEVILLERS;0.443
59359;LOON-PLAGE;0.443
59017;ARMENTIERES;0.444
59632;WALLERS;0.444
62573;MEURCHIN;0.445
62333;FIEFS;0.445
62461;HUBY-SAINT-LEU;0.445
62034;ANNEQUIN;0.445
59108;BRIASTRE;0.446
59280;HAMEL;0.446
59385;MARPENT;0.446
59400;MERVILLE;0.446
62368;GAUDIEMPRE;0.447
59533;SAINT-HILAIRE-LEZ-CAMBRAI;0.447
62276;DOUVRIN;0.447
