"commune", "nb_redevables", "population"
"HAGUENAU", "225", "34891"
"ILLKIRCH-GRAFFENSTADEN", "192", "26368"
"SCHILTIGHEIM", "129", "31239"
"STRASBOURG", "2625", "272975"
"COLMAR", "436", "65713"
"MULHOUSE", "551", "110514"
"BERGERAC", "199", "27716"
"PERIGUEUX", "210", "29558"
"BEGLES", "77", "24417"
"BORDEAUX", "3434", "232260"
"GRADIGNAN", "233", "22988"
"LA TESTE-DE-BUCH", "384", "24911"
"LE BOUSCAT", "486", "23411"
"LIBOURNE", "218", "23296"
"MERIGNAC", "486", "65469"
"PESSAC", "422", "57187"
"SAINT-MEDARD-EN-JALLES", "189", "26934"
"TALENCE", "295", "40920"
"VILLENAVE-D'ORNON", "137", "29958"
"DAX", "207", "20810"
"MONT-DE-MARSAN", "160", "30230"
"AGEN", "202", "33728"
"VILLENEUVE-SUR-LOT", "158", "23466"
"ANGLET", "666", "37646"
"BAYONNE", "397", "44406"
"BIARRITZ", "815", "26690"
"PAU", "813", "83903"
"MOULINS", "125", "20599"
"VICHY", "325", "26108"
"AURILLAC", "211", "29477"
"CLERMONT-FERRAND", "842", "138992"
"CAEN", "1055", "110399"
"LISIEUX", "119", "23343"
"CHERBOURG-OCTEVILLE", "221", "40838"
"BEAUNE", "237", "21778"
"DIJON", "1290", "151504"
"NEVERS", "218", "38496"
"LE CREUSOT", "82", "23813"
"MACON", "208", "34171"
"AUXERRE", "262", "37419"
"SENS", "190", "25924"
"SAINT-BRIEUC", "358", "46437"
"BREST", "524", "144548"
"QUIMPER", "447", "64902"
"FOUGERES", "132", "20941"
"RENNES", "2152", "209613"
"SAINT-MALO", "740", "49661"
"LORIENT", "291", "58547"
"VANNES", "843", "53079"
"BOURGES", "434", "70828"
"VIERZON", "115", "28147"
"CHARTRES", "476", "40022"
"DREUX", "128", "32723"
"CHATEAUROUX", "242", "47559"
"JOUE-LES-TOURS", "162", "36233"
"TOURS", "1201", "136942"
"BLOIS", "305", "48487"
"FLEURY-LES-AUBRAIS", "56", "21418"
"OLIVET", "348", "21032"
"ORLEANS", "1058", "113130"
"CHARLEVILLE-MEZIERES", "231", "51997"
"TROYES", "375", "61344"
"CHAUMONT", "95", "24357"
"SAINT-DIZIER", "87", "26972"
"CHALONS-EN-CHAMPAGNE", "217", "46184"
"EPERNAY", "175", "24456"
"REIMS", "1201", "183837"
"AJACCIO", "297", "63723"
"BASTIA", "134", "43577"
"MONTBELIARD", "127", "26535"
"DOLE", "126", "24606"
"BELFORT", "204", "50863"
"EVREUX", "290", "51239"
"VERNON", "180", "24018"
"DIEPPE", "190", "33618"
"LE HAVRE", "729", "182580"
"MONT-SAINT-AIGNAN", "516", "20659"
"ROUEN", "889", "107904"
"SOTTEVILLE-LES-ROUEN", "60", "30076"
"ATHIS-MONS", "140", "30615"
"BRETIGNY-SUR-ORGE", "112", "22753"
"BRUNOY", "325", "25856"
"CORBEIL-ESSONNES", "131", "40929"
"DRAVEIL", "238", "28736"
"ETAMPES", "118", "22568"
"EVRY", "67", "52651"
"GIF-SUR-YVETTE", "691", "21816"
"LONGJUMEAU", "98", "21048"
"MASSY", "198", "40183"
"MONTGERON", "294", "23105"
"MORSANG-SUR-ORGE", "143", "21717"
"PALAISEAU", "404", "30339"
"RIS-ORANGIS", "101", "26620"
"SAINT-MICHEL-SUR-ORGE", "104", "20041"
"SAINTE-GENEVIEVE-DES-BOIS", "246", "34024"
"SAVIGNY-SUR-ORGE", "307", "37259"
"VIGNEUX-SUR-SEINE", "72", "26333"
"VIRY-CHATILLON", "121", "31252"
"YERRES", "255", "28572"
"ANTONY", "1430", "60552"
"ASNIERES-SUR-SEINE", "1267", "82351"
"BAGNEUX", "142", "38936"
"BOIS-COLOMBES", "512", "27151"
"BOULOGNE-BILLANCOURT", "5083", "110251"
"CHATENAY-MALABRY", "526", "31873"
"CHATILLON", "384", "32077"
"CLAMART", "1141", "50655"
"CLICHY", "230", "57162"
"COLOMBES", "722", "82026"
"COURBEVOIE", "1711", "84415"
"FONTENAY-AUX-ROSES", "493", "23964"
"ISSY-LES-MOULINEAUX", "1203", "61471"
"LA GARENNE-COLOMBES", "519", "27188"
"LE PLESSIS-ROBINSON", "306", "23312"
"LEVALLOIS-PERRET", "1694", "62851"
"MALAKOFF", "228", "30509"
"MEUDON", "1621", "44745"
"MONTROUGE", "626", "45178"
"NANTERRE", "449", "88316"
"NEUILLY-SUR-SEINE", "7442", "61471"
"PUTEAUX", "522", "42981"
"RUEIL-MALMAISON", "2409", "77625"
"SAINT-CLOUD", "2024", "29385"
"SEVRES", "937", "23726"
"SURESNES", "882", "44197"
"VANVES", "525", "26878"
"PARIS", "952", "2181371"
"PARIS", "580", "2181371"
"PARIS", "1374", "2181371"
"PARIS", "1567", "2181371"
"PARIS", "3579", "2181371"
"PARIS", "4802", "2181371"
"PARIS", "7090", "2181371"
"PARIS", "4039", "2181371"
"PARIS", "2343", "2181371"
"PARIS", "1325", "2181371"
"PARIS", "2923", "2181371"
"PARIS", "3453", "2181371"
"PARIS", "3158", "2181371"
"PARIS", "4794", "2181371"
"PARIS", "9543", "2181371"
"PARIS", "18574", "2181371"
"PARIS", "8144", "2181371"
"PARIS", "2116", "2181371"
"PARIS", "1681", "2181371"
"PARIS", "1827", "2181371"
"CHAMPS-SUR-MARNE", "81", "24499"
"CHELLES", "262", "48616"
"COMBS-LA-VILLE", "87", "21603"
"DAMMARIE-LES-LYS", "94", "20838"
"LAGNY-SUR-MARNE", "185", "20086"
"LE MEE-SUR-SEINE", "55", "20580"
"MEAUX", "242", "48842"
"MELUN", "207", "37663"
"OZOIR-LA-FERRIERE", "128", "20152"
"PONTAULT-COMBAULT", "169", "34546"
"VILLEPARISIS", "60", "23302"
"AUBERVILLIERS", "94", "73506"
"AULNAY-SOUS-BOIS", "332", "81600"
"BAGNOLET", "80", "34069"
"BONDY", "88", "53311"
"DRANCY", "155", "66063"
"EPINAY-SUR-SEINE", "96", "51598"
"GAGNY", "241", "37729"
"LE BLANC-MESNIL", "121", "51109"
"LES LILAS", "184", "22071"
"LES PAVILLONS-SOUS-BOIS", "148", "20204"
"LIVRY-GARGAN", "205", "41556"
"MONTFERMEIL", "111", "26121"
"MONTREUIL", "382", "101587"
"NEUILLY-SUR-MARNE", "52", "33352"
"NOISY-LE-GRAND", "309", "61341"
"NOISY-LE-SEC", "133", "38587"
"PANTIN", "162", "53577"
"ROMAINVILLE", "67", "25199"
"ROSNY-SOUS-BOIS", "212", "41174"
"SAINT-DENIS", "101", "97875"
"SAINT-OUEN", "94", "42950"
"SEVRAN", "61", "51106"
"TREMBLAY-EN-FRANCE", "84", "35340"
"VILLEMOMBLE", "320", "28339"
"VILLEPINTE", "54", "35592"
"ARGENTEUIL", "295", "102683"
"CERGY", "156", "56873"
"CORMEILLES-EN-PARISIS", "235", "21503"
"DEUIL-LA-BARRE", "215", "21230"
