code_postal,dept,commune,population
78640,78,VELIZY-VILLACOUBLAY,20030
91570,91,SAINT-MICHEL-SUR-ORGE,20041
46042,46,CAHORS,20062
77243,77,LAGNY-SUR-MARNE,20086
77350,77,OZOIR-LA-FERRIERE,20152
93057,93,LES PAVILLONS-SOUS-BOIS,20204
13071,13,LES PENNES-MIRABEAU,20231
59172,59,DENAIN,20339
77285,77,LE MEE-SUR-SEINE,20580
03190,03,MOULINS,20599
76451,76,MONT-SAINT-AIGNAN,20659
38563,38,VOIRON,20672
40088,40,DAX,20810
77152,77,DAMMARIE-LES-LYS,20838
06079,06,MANDELIEU-LA-NAPOULE,20850
59163,59,CROIX,20926
35115,35,FOUGERES,20941
33249,33,LORMONT,20944
45232,45,OLIVET,21032
91345,91,LONGJUMEAU,21048
13041,13,GARDANNE,21062
44215,44,VERTOU,21091
59295,59,HAZEBROUCK,21101
04112,04,MANOSQUE,21162
94054,94,ORLY,21197
31069,31,BLAGNAC,21199
78126,78,LA CELLE-SAINT-CLOUD,21202
77390,77,ROISSY-EN-BRIE,21230
95197,95,DEUIL-LA-BARRE,21230
34003,34,AGDE,21293
59271,59,GRANDE-SYNTHE,21408
59360,59,LOOS,21410
95428,95,MONTMORENCY,21416
45147,45,FLEURY-LES-AUBRAIS,21418
95555,95,SAINT-GRATIEN,21436
95176,95,CORMEILLES-EN-PARISIS,21503
32013,32,AUCH,21545
77122,77,COMBS-LA-VILLE,21603
88413,88,SAINT-DIE-DES-VOSGES,21642
91434,91,MORSANG-SUR-ORGE,21717
57631,57,SARREGUEMINES,21733
21054,21,BEAUNE,21778
91272,91,GIF-SUR-YVETTE,21816
57227,57,FORBACH,21956
83144,83,LA VALETTE-DU-VAR,22067
93045,93,LES LILAS,22071
59540,59,SAINT-POL-SUR-MER,22100
76498,76,LE PETIT-QUEVILLY,22132
12145,12,MILLAU,22133
69202,69,SAINTE-FOY-LES-LYON,22208
94067,94,SAINT-MANDE,22211
77468,77,TORCY,22299
59410,59,MONS-EN-BARŒUL,22360
34108,34,FRONTIGNAN,22410
78358,78,MAISONS-LAFFITTE,22566
91223,91,ETAMPES,22568
56098,56,LANESTER,22627
59368,59,LA MADELEINE,22681
95572,95,SAINT-OUEN-L'AUMÔNE,22681
91103,91,BRETIGNY-SUR-ORGE,22753
14327,14,HEROUVILLE-SAINT-CLAIR,22766
57480,57,MONTIGNY-LES-METZ,22843
38169,38,FONTAINE,22936
33192,33,GRADIGNAN,22988
59155,59,COUDEKERQUE-BRANCHE,22994
91421,91,MONTGERON,23105
33119,33,CENON,23171
33243,33,LIBOURNE,23296
77514,77,VILLEPARISIS,23302
92060,92,LE PLESSIS-ROBINSON,23312
14366,14,LISIEUX,23343
33069,33,LE BOUSCAT,23411
47323,47,VILLENEUVE-SUR-LOT,23466
01283,01,OYONNAX,23618
31395,31,MURET,23622
95203,95,EAUBONNE,23640
38053,38,BOURGOIN-JALLIEU,23659
92072,92,SEVRES,23726
62178,62,BRUAY-LA-BUISSIERE,23813
71153,71,LE CREUSOT,23813
34145,34,LUNEL,23914
92032,92,FONTENAY-AUX-ROSES,23964
27681,27,VERNON,24018
12202,12,RODEZ,24028
80001,80,ABBEVILLE,24052
44114,44,ORVAULT,24218
52121,52,CHAUMONT,24357
33039,33,BEGLES,24417
51230,51,EPERNAY,24456
77083,77,CHAMPS-SUR-MARNE,24499
44190,44,SAINT-SEBASTIEN-SUR-LOIRE,24508
13063,13,MIRAMAS,24517
92078,92,VILLENEUVE-LA-GARENNE,24568
39198,39,DOLE,24606
69275,69,DECINES-CHARPIEU,24668
59017,59,ARMENTIERES,24836
33529,33,LA TESTE-DE-BUCH,24911
91692,91,LES ULIS,24962
77445,77,SAVIGNY-LE-TEMPLE,25130
93063,93,ROMAINVILLE,25199
31557,31,TOURNEFEUILLE,25444
94043,94,LE KREMLIN-BICETRE,25567
94034,94,FRESNES,25575
83062,83,LA GARDE,25621
78517,78,RAMBOUILLET,25661
69149,69,OULLINS,25694
84035,84,CAVAILLON,25819
95306,95,HERBLAY,25824
91114,91,BRUNOY,25856
62427,62,HENIN-BEAUMONT,25915
89387,89,SENS,25924
95582,95,SANNOIS,25939
91286,91,GRIGNY,25981
03310,03,VICHY,26108
93047,93,MONTFERMEIL,26121
95277,95,GONESSE,26152
76322,76,LE GRAND-QUEVILLY,26226
94071,94,SUCY-EN-BRIE,26261
17299,17,ROCHEFORT,26299
91657,91,VIGNEUX-SUR-SEINE,26333
67218,67,ILLKIRCH-GRAFFENSTADEN,26368
95607,95,TAVERNY,26436
62119,62,BETHUNE,26472
02408,02,LAON,26522
17415,17,SAINTES,26531
25388,25,MONTBELIARD,26535
91521,91,RIS-ORANGIS,26620
64122,64,BIARRITZ,26690
92075,92,VANVES,26878
33449,33,SAINT-MEDARD-EN-JALLES,26934
52448,52,SAINT-DIZIER,26972
95680,95,VILLIERS-LE-BEL,27130
92009,92,BOIS-COLOMBES,27151
92035,92,LA GARENNE-COLOMBES,27188
73008,73,AIX-LES-BAINS,27375
84031,84,CARPENTRAS,27451
