"id_departement","nb_exp_bio","surf_bio"
"10",73,2666
"11",513,24998
"12",449,37278
"13",527,22846
"14",254,14522
"15",133,8381
"16",174,8192
"17",204,7739
"18",118,7877
"19",175,6109
"2A",92,6240
"2B",164,4857
"21",298,13838
"22",437,15691
"23",148,9378
"24",611,16573
"25",142,9824
"26",956,33273
"27",100,3667
"28",55,2469
"29",452,14439
"30",754,19368
"31",307,11671
"32",562,28419
"33",627,14868
"34",662,20036
"35",422,18943
"36",107,7604
"37",236,9661
"38",359,13432
"39",197,11584
"40",165,4970
"41",142,5992
"42",226,9206
"43",279,13431
"44",582,40587
"45",89,3654
"46",223,8694
"47",548,17011
"48",171,16929
"49",560,24888
"50",318,14674
"51",171,3512
"52",62,5882
"53",255,12703
"54",82,5297
"55",69,5642
"56",389,15413
"57",127,11572
"58",133,9901
"59",154,4290
"60",72,4919
"61",258,18130
"62",126,3484
"63",242,10189
"64",318,7613
"65",93,2750
"66",510,12322
"67",239,11175
"68",295,6687
"69",239,5100
"70",155,13118
"71",212,7560
"72",198,10675
"73",90,2445
"74",120,3159
"76",104,3882
"77",82,3804
"78",42,1728
"79",252,12131
"80",78,2544
"81",295,10676
"82",311,9388
"83",400,11681
"84",756,17921
"85",337,18770
"86",177,12306
"87",192,12294
"88",173,12663
"89",235,16919
"90",9,358
"91",41,2122
"92",1,
"93",3,52
"94",5,46
"95",11,612
"971",32,164
"972",30,200
"973",31,2407
"974",130,594
"976",2,
"1",133,8698
"2",76,2336
"3",243,15598
"4",299,19040
"5",187,10606
"6",176,4300
"7",537,15414
"8",133,7136
"9",314,16525
