"Satisfaction_globale", "Commune", "Gare"
"7.3", "Amiens", "AMIENS"
"7.9", "Avignon", "AVIGNON TGV"
"7", "Grenoble", "GRENOBLE"
"7.6", "Mans", "LE MANS"
"7.7", "Lille", "LILLE EUROPE"
"7.8", "Lille", "LILLE FLANDRES"
"6.9", "Lyon", "LYON PART DIEU"
"7.2", "Lyon", "LYON PERRACHE"
"7.3", "Metz", "METZ VILLE"
"7.3", "Mulhouse", "MULHOUSE"
"7.8", "Nancy", "NANCY"
"7.6", "Nantes", "NANTES"
"7.3", "Paris", "PARIS AUSTERLITZ"
"7.4", "Paris", "PARIS BERCY"
"7.5", "Paris", "PARIS EST"
"7.4", "Paris", "PARIS GARE DE LYON"
"7.4", "Paris", "PARIS MONTPARNASSE"
"7.8", "Rennes", "RENNES"
"6.6", "Rouen", "ROUEN RIVE DROITE"
"7.8", "Strasbourg", "STRASBOURG"
"7.9", "Tours", "TOURS"
"7.3", "Lourdes", "LOURDES"
"7.9", "Reims", "REIMS"
"7.7", "Toulon", "TOULON"
