gare,Lat,long,has_piano
Nice,43.70488, 7.261777,TRUE
Marne-la-Vallée - Chessy,48.868256, 2.782184,TRUE
Ermont - Eaubonne,48.980583, 2.271423,TRUE
Bibliothèque François Mitterrand,48.829824, 2.376751,TRUE
Metz-Ville,49.109381, 6.177669,TRUE
Vichy,46.1267607868, 3.4305614233,TRUE
Bellegarde,46.109637, 5.82366,TRUE
Bourg-en-Bresse,46.200121, 5.215034,TRUE
Chambéry,45.571263, 5.919434,TRUE
Cannes,43.5539416101, 7.01959379017,TRUE
Aix-en-Provence TGV,43.455102, 5.317179,TRUE
La Rochelle-Ville,46.152642, -1.14531,TRUE
Poitiers,46.5820752121, 0.332926511765,TRUE
Trouville - Deauville,49.3600136316, 0.0842133164406,TRUE
TGV Haute-Picardie,49.859232, 2.831802,TRUE
Amiens,49.890791, 2.30715,TRUE
Le Havre,49.493045, 0.125653,TRUE
Arras,50.286957, 2.78122,TRUE
Aix-en-Provence,43.523078, 5.445,TRUE
Dieppe,49.9214572, 1.0811663,TRUE
Montpellier Saint-Roch,43.6047358, 3.8806736,TRUE
'Gare d''Austerlitz',48.841472, 2.36671,TRUE
Gare de Paris Bercy,48.839184, 2.382961,TRUE
Évry - Courcouronnes,48.625795, 2.428976,TRUE
Champagne-Ardenne TGV,49.214748, 3.994572,TRUE
Reims,49.259094754, 4.02440786362,TRUE
Lyon Saint-Exupéry,45.720931, 5.075819,TRUE
Grenoble,45.19147, 5.7145,TRUE
Bourg Saint Maurice,45.6188026902, 6.77167117596,TRUE
Toulouse,43.611224, 1.45372,TRUE
Orléans,47.907856, 1.904244,TRUE
Angers Saint-Laud,47.464305, -0.55882,TRUE
Rennes,48.103648, -1.67238,TRUE
Creil,49.263783, 2.46868,TRUE
Valenciennes,50.363312, 3.51708,TRUE
Lille Flandres,50.636547, 3.06994,TRUE
Epernay,49.046243, 3.959887,TRUE
Bayonne,43.49683, -1.4702368,TRUE
Besançon Viotte,47.246984, 6.02196,TRUE
Gare du Nord,48.880949, 2.35532,TRUE
Belfort-Montbéliard TGV,47.58594, 6.897634,TRUE
Massy TGV,48.725618, 2.261439,TRUE
Nancy,48.689874, 6.17459,TRUE
Strasbourg,48.585074804, 7.73413896561,TRUE
Dijon Ville,47.322913, 5.02613,TRUE
Lyon Part-Dieu,45.760564, 4.859989,TRUE
Avignon TGV,43.921433, 4.785841,TRUE
Agen,44.2083537021, 0.621014535427,TRUE
Vendôme-Villiers TGV,47.822001, 1.021509,TRUE
Saint-Brieuc,48.5074854874, -2.7650141716,TRUE
Lens,50.4268113849, 2.82809972763,TRUE
Dreux,48.7313488234, 1.37065708637,TRUE
Menton,43.7743709, 7.4767649,TRUE
Marseille-Saint-Charles,43.302879, 5.38038,TRUE
Gare de Lyon,48.844717, 2.37393,TRUE
'Gare de l''Est',48.876141, 2.358283,TRUE
Chelles - Gournay,48.874201, 2.582221,TRUE
Troyes,48.2963136053, 4.06491994858,TRUE
Charleville-Mézières,49.767829, 4.724958,TRUE
Mulhouse Ville,47.742166, 7.3425,TRUE
Monaco-Monte-Carlo,43.7409088, 7.42153,TRUE
Toulon,43.1285247428, 5.92906057835,TRUE
Perpignan,42.696303, 2.87969,TRUE
Bordeaux Saint-Jean,44.826055, -0.55625,TRUE
Brest,48.387765, -4.48047,TRUE
Caen,49.1763661797, -0.34764111042,TRUE
Rouen Rive Droite,49.4489428393, 1.09414547682,TRUE
Compiègne,49.421905, 2.823792,TRUE
Douai,50.372318, 3.089484,TRUE
Lille-Europe,50.638811, 3.075855,TRUE
Biarritz,43.4593596, -1.5459502,TRUE
Gare Montparnasse,48.840754, 2.31947,TRUE
Gare Saint Lazare,48.87611, 2.326387,TRUE
Besançon Franche-Comté TGV,47.307562, 5.952675,TRUE
Haussmann - Saint-Lazare,48.875188, 2.32904,TRUE
Magenta,48.880099, 2.35826,TRUE
Lyon-Perrache,45.736643, 4.816301,TRUE
Valence TGV,44.992586, 4.978529,TRUE
Annecy,45.9019775562, 6.12180948257,TRUE
Aix-les-Bains,45.688586, 5.909657,TRUE
Nîmes,43.832356, 4.366347,TRUE
Pau,43.2918278617, -0.369643270969,TRUE
Limoges-Bénédictins,45.836414, 1.266968,TRUE
Tours,47.388231, 0.69472,TRUE
Nantes,47.217585, -1.54212,TRUE
Vannes,47.6651525292, -2.75247752666,TRUE
Lorient,47.754508, -3.368291,TRUE
Dunkerque,51.0306094023, 2.3687928915,TRUE
