Gare;Satisfaction globale
AEROPORT Charles De Gaulle 2 TGV ROISSY;7.4
AIX EN PROVENCE TGV;7.5
AMIENS;7.3
ANGERS saint LAUD;7.6
AVIGNON TGV;7.9
BORDEAUX saint JEAN;7.8
DIJON VILLE;7.8
GRENOBLE;7.0
LE MANS;7.6
LILLE EUROPE;7.7
LILLE FLANDRES;7.8
LYON PART DIEU;6.9
LYON PERRACHE;7.2
MARNE  LA  VALLEE CHESSY;7.4
MARSEILLE saint CHARLES;7.1
METZ VILLE;7.3
MONTPELLIER SAINT  ROCH;7.2
MULHOUSE;7.3
NANCY;7.8
NANTES;7.6
NICE VILLE;6.1
PARIS AUSTERLITZ;7.3
PARIS BERCY;7.4
PARIS EST;7.5
PARIS GARE DE LYON;7.4
PARIS MONTPARNASSE;7.4
PARIS NORD;6.7
PARIS saint LAZARE;7.6
RENNES;7.8
ROUEN RIVE DROITE;6.6
saint PIERRE DES CORPS;6.9
STRASBOURG;7.8
TOULOUSE  MATABIAU;7.3
TOURS;7.9
LOURDES;7.3
NIMES;7.3
REIMS;7.9
TOULON;7.7
