nom_gare	satisfaction_global,
AEROPORT CDG2 TGV ROISSY	7,9
AEROPORT CDG2 TGV ROISSY (Francophones)	7,9
AEROPORT CDG2 TGV ROISSY (Anglophones)	8
AIX EN PROVENCE TGV	7,7
AMIENS	7,6
ANGERS SAINT LAUD	8,1
AVIGNON TGV	7,8
BORDEAUX ST JEAN	7,6
DIJON VILLE	7,8
GRENOBLE	7,2
LE MANS	7,7
LILLE EUROPE	7,8
LILLE FLANDRES	7,6
LYON PART DIEU	7,8
LYON PERRACHE	6,9
MARNE-LA-VALLEE CHESSY	7,8
MARSEILLE ST CHARLES	7,2
METZ VILLE	7,6
MONTPELLIER SAINT-ROCH	7,6
MULHOUSE	7,6
NANCY	7,7
NANTES	7,6
NICE VILLE	6,3
PARIS AUSTERLITZ	7,3
PARIS BERCY	7,6
PARIS EST	7,5
PARIS EST  (Voyageurs transiliens)	7,3
PARIS EST  (Voyageurs hors transiliens)	7,6
PARIS EST  (Attendants)	7,6
PARIS GARE DE LYON	7,1
PARIS GARE DE LYON (Hall 1)	7,2
PARIS GARE DE LYON (Hall 2)	7,7
PARIS GARE DE LYON (Hall 3)	7,3
PARIS GARE DE LYON (Niveau -1 / zone RER)	6,9
PARIS GARE DE LYON   (Voyageurs transiliens)	6,9
PARIS GARE DE LYON   (Voyageurs hors transiliens)	7,4
PARIS GARE DE LYON   (Attendants)	7,4
PARIS MONTPARNASSE 1 ET 2+VAUGIRARD	7,4
PARIS MONTPARNASSE (Hall transversal y compris Vaugirard et Pasteur)	7,6
PARIS MONTPARNASSE (Espace Vasarely)	7,2
PARIS MONTPARNASSE (Hall 4)	7,4
PARIS MONTPARNASSE  (Voyageurs transiliens)	7,4
PARIS MONTPARNASSE  (Voyageurs hors transiliens)	7,3
PARIS MONTPARNASSE  (Attendants)	7,3
PARIS NORD	6,7
